,x,y
0,-29.025,-220.12
1,-41.644999999999996,-216.315
2,-42.64,-216.03
3,-44.480000000000004,-215.62
4,-46.315,-215.39
5,-48.17,-215.3
6,-50.019999999999996,-215.35
7,-51.849999999999994,-215.565
8,-53.65,-215.94
9,-55.41,-216.485
10,-57.11,-217.20999999999998
11,-58.739999999999995,-218.125
12,-59.515,-218.635
13,-61.005,-219.82999999999998
14,-62.39,-221.23000000000002
15,-63.665,-222.83499999999998
16,-64.735,-224.64999999999998
17,-65.175,-225.58999999999997
18,-66.08500000000001,-227.745
19,-66.94,-230.175
