,x,y,vx,vy,heading
0,6265.886889152979,1242.2589688192843,3.735908811405976e-15,-4.397202534624532e-15,-3.134632203471048
1,6265.889558166365,1242.2591040053408,3.80681103349744e-15,-4.326337362388557e-15,-3.1348566078655327
2,6265.892255511602,1242.2592852257767,3.707922700938491e-15,-4.2318139459401294e-15,-3.1350441651940626
3,6265.8948605955175,1242.2594083541408,3.3631706257094795e-15,-3.960151049070066e-15,-3.1351573185842914
4,6265.89698333122,1242.259556209659,2.7439665784451296e-15,-3.5061967274680565e-15,-3.135163488854249
5,6265.897964341076,1242.2597454312977,2.1283502246481557e-15,-3.1421405332754397e-15,-3.1349561700996342
6,6265.897792402091,1242.2601360577578,2.236601734840138e-15,-3.1049673767451734e-15,-3.1344384747011085
7,6265.897212291312,1242.2607729479666,2.9126249004396893e-15,-3.3114464860823196e-15,-3.1336160849426933
8,6265.89593472687,1242.2615038270433,3.4248968819795473e-15,-3.620812096610702e-15,-3.1325656602045826
9,6265.893497509369,1242.262346622507,3.515646863887205e-15,-4.413436921741353e-15,-3.131361834418174
10,6265.889920597603,1242.2632349503078,3.2242553652779545e-15,-5.562944885646482e-15,-3.1300973661412352
11,6265.886662872559,1242.2641111467358,2.8570432714728954e-15,-7.005471981054637e-15,-3.1289251384151746
12,6265.884111597244,1242.2649364859053,3.238752442428096e-15,-8.350459668441397e-15,-3.1277899399948015
13,6265.881781732842,1242.2656239729504,4.004696390890404e-15,-9.165249847112588e-15,-3.1265776157058682
14,6265.880215048595,1242.2663821544825,4.248857932452887e-15,-9.015103470153628e-15,-3.1253488155267246
15,6265.879641677615,1242.2671442665492,3.968003909783365e-15,-7.866448333590689e-15,-3.1242474028307905
16,6265.880004781711,1242.267996124567,4.065945811739811e-15,-6.7197050729768595e-15,-3.1233456673863556
17,6265.881546526299,1242.2689727465051,3.942930088087966e-15,-5.327095952411201e-15,-3.1226859008454175
18,6265.883712048868,1242.2699126363032,3.8289437099194734e-15,-4.418618841010599e-15,-3.1222237656628584
19,6265.884694733053,1242.2709443548001,4.21359109715255e-15,-5.075321168539093e-15,-3.1218198485934674
20,6265.884890941824,1242.2720395636793,4.63478084645731e-15,-6.157927978828679e-15,-3.121575645146346
21,6265.884516325726,1242.2732548004885,5.006302462237269e-15,-6.399986158103403e-15,-3.1215025612331377
22,6265.883058491778,1242.274685576117,5.1589002219992775e-15,-6.174971421706032e-15,-3.121461269265056
23,6265.880404571937,1242.2763635401311,5.129051281434559e-15,-6.136610291038568e-15,-3.121292184391409
24,6265.877399952356,1242.2783012218226,4.781218901517879e-15,-5.811958807284412e-15,-3.1209405898716214
25,6265.87379809272,1242.280321321614,4.243312599369614e-15,-4.934683734523109e-15,-3.1204681385771442
26,6265.868322487593,1242.2823918417403,3.491180306553768e-15,-3.839275848358914e-15,-3.1200062680575513
27,6265.861600122862,1242.284705868071,3.046946696614605e-15,-3.1277452970255523e-15,-3.1196916628773983
28,6265.855337137,1242.2872017615514,2.8279217234174063e-15,-2.966217692738027e-15,-3.1195750132961995
29,6265.849934144013,1242.2898204741314,2.6689425348633096e-15,-3.2820244835797814e-15,-3.1196405637236246
30,6265.8439005314285,1242.292276571032,2.4349624047108576e-15,-3.930358972884469e-15,-3.1196584115378614
31,6265.837720351496,1242.2942262258496,2.1097208453557204e-15,-4.015014680065161e-15,-3.119614223037982
32,6265.8323880020625,1242.2959057886942,1.872027402353888e-15,-3.527746505716751e-15,-3.119637326770349
33,6265.827911165685,1242.29741446079,1.556693742139828e-15,-2.998918458182328e-15,-3.119745547824123
34,6265.8247291573625,1242.298961445961,1.1643342591834313e-15,-2.351039819982008e-15,-3.1199302822691632
35,6265.82299295277,1242.3006520543272,8.006399265287851e-16,-1.7021428554469283e-15,-3.120146899397717
36,6265.821890010018,1242.3022382809586,6.459773014308084e-16,-1.260252902998173e-15,-3.120386813293792
37,6265.821878487988,1242.303778015129,5.523410338557188e-16,-9.240187519724088e-16,-3.120762403086662
38,6265.823965321236,1242.305490376512,4.596489515096514e-16,-6.714554095591568e-16,-3.1213385005950953
39,6265.8257712564955,1242.3073727926862,5.312001207635466e-16,-9.699758258766556e-16,-3.1218972779959904
40,6265.8256602006195,1242.3092048658987,5.238225085281142e-16,-1.233068434370336e-15,-3.1222355994547333
41,6265.823936158214,1242.3109146244185,4.699497193137033e-16,-1.2360891912729721e-15,-3.122325233686787
42,6265.820775629333,1242.3127041322123,4.952841086487641e-16,-1.3899908734120527e-15,-3.122216274108288
43,6265.816493122985,1242.3145935686737,4.948828730664024e-16,-1.460626106149335e-15,-3.1219816374954457
44,6265.812283781101,1242.3165648832023,4.734678854624165e-16,-1.3448812048441312e-15,-3.121735072988935
45,6265.809003250388,1242.3185609021284,4.8366377566339205e-16,-1.106735026989632e-15,-3.121532596892501
46,6265.8068263118985,1242.3203819534565,4.818718728025073e-16,-8.474440428353582e-16,-3.1213374822242623
47,6265.804772718691,1242.321792611905,4.416980268077705e-16,-6.064300245604515e-16,-3.121151561768131
48,6265.801917815001,1242.3225377953365,3.581309986048102e-16,-4.0840641896799586e-16,-3.1210120646105657
49,6265.800020364274,1242.3229659464707,2.3791452759095875e-16,-2.6436437028758587e-16,-3.120920143547948
50,6265.7987794405935,1242.3233191104155,1.4468234401345897e-16,-1.686896053974302e-16,-3.120864179638401
51,6265.7970892529975,1242.3234643093647,8.070503211037136e-17,-1.2527461003814495e-16,-3.1208882293635147
52,6265.795255790831,1242.3234641831018,3.341162364075326e-17,-1.0572012766781067e-16,-3.1210005367680207
53,6265.792922243705,1242.3234642493555,1.3633361431164013e-17,-8.917094903876189e-17,-3.1211834643372307
54,6265.78974948442,1242.3234047291076,1.130900315987997e-17,-7.410095118326488e-17,-3.121417784546452
55,6265.784752458665,1242.3232822110078,5.968450811837616e-18,-4.8041037209866966e-17,-3.121758184669797
56,6265.775438548754,1242.3232943737216,3.269751725505778e-18,-2.6636434442444672e-17,-3.1221005213473574
