file_name,frame,conflict_frame,ego_ttcp,agent_ttcp,ego_a_c,agent_a_c,av_pass_first,ego_dis2des,ego_current_velocity,agent_dis2des,agent_current_velocity
0_agent_yield_hv.csv,0,24,2.29,5.83,-1.82,3.67,True,20.0,8.73,15.84,2.72
0_agent_yield_hv.csv,10,24,1.28,6.67,-2.12,13.48,True,11.27,8.77,13.67,2.05
0_agent_yield_hv.csv,20,24,0.3,6.96,-2.37,100.0,True,2.59,8.62,12.23,1.76
100_agent_yield_hv.csv,0,25,2.47,2.85,-0.96,0.72,True,25.07,10.17,16.52,5.8
100_agent_yield_hv.csv,10,25,1.45,3.18,-3.5,6.33,True,14.88,10.24,12.23,3.85
100_agent_yield_hv.csv,20,25,0.41,3.16,-6.0,93.86,True,4.42,10.88,9.07,2.87
101_agent_yield_hv.csv,0,45,9.05,6.31,0.38,-0.08,True,24.84,2.74,7.93,1.26
102_agent_yield_hv.csv,40,47,0.59,8.81,-1.32,39.24,True,3.69,6.22,7.32,0.83
103_agent_yield_hv.csv,50,51,0.0,6.29,-1.84,100.0,True,0.0,5.77,12.01,1.91
104_agent_yield_hv.csv,0,23,4.27,4.32,-0.03,0.01,True,23.19,5.43,12.45,2.89
104_agent_yield_hv.csv,10,23,1.2,3.91,-3.86,9.49,True,13.02,10.88,9.86,2.52
104_agent_yield_hv.csv,20,23,0.2,4.77,-4.33,100.0,True,2.16,10.79,7.97,1.67
105_agent_yield_hv.csv,10,32,1.62,5.77,-1.88,4.07,True,12.16,7.53,7.43,1.29
107_agent_yield_hv.csv,20,21,0.0,1.46,-14.19,100.0,True,0.0,10.36,5.09,3.48
109_agent_yield_hv.csv,10,66,5.76,4.42,0.33,-0.15,True,13.97,2.43,8.18,1.85
109_agent_yield_hv.csv,40,66,4.57,4.76,-0.04,0.02,True,11.18,2.45,6.17,1.3
109_agent_yield_hv.csv,60,66,0.54,6.65,-1.55,32.84,True,3.02,5.61,5.21,0.78
10_agent_yield_hv.csv,20,25,0.4,7.13,-2.32,100.0,True,3.54,8.78,10.76,1.51
110_agent_yield_hv.csv,0,32,3.16,3.6,-0.71,0.3,True,33.31,10.54,12.47,3.47
110_agent_yield_hv.csv,10,32,2.12,3.38,-2.36,1.57,True,22.71,10.72,9.46,2.8
110_agent_yield_hv.csv,20,32,1.1,1.5,-3.86,2.54,True,11.93,10.85,5.78,3.86
110_agent_yield_hv.csv,30,32,0.1,0.14,-44.36,38.84,True,1.09,10.87,0.68,4.84
113_agent_yield_hv.csv,20,40,1.95,6.77,-2.05,4.25,True,18.97,9.74,11.36,1.68
113_agent_yield_hv.csv,30,40,0.91,0.91,-0.09,0.01,True,9.11,10.05,6.0,6.59
114_agent_yield_hv.csv,10,33,2.68,4.07,-1.01,0.97,True,16.2,6.04,10.25,2.52
114_agent_yield_hv.csv,30,33,0.2,3.77,-4.1,100.0,True,1.65,8.16,7.44,1.97
115_agent_yield_hv.csv,0,24,2.31,4.06,-2.32,4.11,True,25.31,10.95,25.44,6.26
115_agent_yield_hv.csv,10,24,1.29,3.49,-3.99,14.92,True,14.21,11.04,19.68,5.63
115_agent_yield_hv.csv,20,24,0.3,2.48,-7.78,100.0,True,3.26,10.96,13.64,5.5
118_agent_yield_hv.csv,20,44,2.52,6.27,-1.66,1.95,True,21.9,8.7,10.36,1.65
118_agent_yield_hv.csv,30,44,1.34,3.99,-3.18,6.22,True,12.78,9.54,8.41,2.11
118_agent_yield_hv.csv,40,44,0.31,3.69,-4.97,100.0,True,3.06,9.99,6.53,1.77
119_agent_yield_hv.csv,70,76,0.54,2.43,-4.19,34.45,True,3.56,6.56,6.46,2.66
11_agent_yield_hv.csv,0,23,2.25,8.91,-1.16,6.02,True,15.63,6.94,20.37,2.29
11_agent_yield_hv.csv,10,23,1.2,6.0,-1.99,19.65,True,8.99,7.46,17.68,2.95
11_agent_yield_hv.csv,20,23,0.2,3.62,-3.94,100.0,True,1.49,7.55,14.11,3.9
122_agent_yield_hv.csv,30,38,0.72,6.11,-2.24,30.12,True,5.6,7.75,8.85,1.45
123_agent_yield_hv.csv,40,61,2.49,9.39,-0.69,2.49,True,11.07,4.44,10.51,1.12
123_agent_yield_hv.csv,50,61,1.08,5.79,-1.56,12.69,True,6.01,5.57,9.1,1.57
123_agent_yield_hv.csv,60,61,0.0,3.85,-3.28,100.0,True,0.0,6.32,7.41,1.92
125_agent_yield_hv.csv,20,22,0.1,8.5,-2.53,100.0,True,1.1,10.87,15.08,1.77
126_agent_yield_hv.csv,0,34,3.37,3.2,0.5,-0.11,True,51.35,15.24,11.45,3.58
126_agent_yield_hv.csv,10,34,2.31,5.43,-3.29,1.95,True,35.78,15.52,9.07,1.67
126_agent_yield_hv.csv,20,34,1.31,2.64,-5.92,3.82,True,20.17,15.46,6.52,2.47
126_agent_yield_hv.csv,30,34,0.3,1.1,-20.36,57.3,True,4.65,15.42,3.55,3.23
127_agent_yield_hv.csv,10,29,2.09,8.75,-1.21,3.15,True,14.57,6.97,9.05,1.03
127_agent_yield_hv.csv,20,29,0.85,4.11,-3.15,16.25,True,6.93,8.16,7.4,1.8
129_agent_yield_hv.csv,40,48,0.71,3.42,-3.94,44.06,True,6.06,8.51,14.02,4.1
12_agent_yield_hv.csv,0,58,4.31,3.29,2.03,-0.56,True,46.27,10.73,16.78,5.11
12_agent_yield_hv.csv,10,58,3.3,3.28,0.05,-0.01,True,35.49,10.74,12.67,3.86
12_agent_yield_hv.csv,20,58,2.44,3.38,-1.69,0.9,True,24.96,10.23,9.59,2.84
12_agent_yield_hv.csv,30,58,2.03,4.09,-1.91,1.79,True,15.74,7.75,7.34,1.79
12_agent_yield_hv.csv,40,58,1.79,2.74,-1.32,1.18,True,9.43,5.25,5.42,1.98
