file_name,frame,conflict_frame,ego_ttcp,agent_ttcp,ego_a_c,agent_a_c,av_pass_first,ego_dis2des,ego_current_velocity,agent_dis2des,agent_current_velocity
0_agent_hv.csv,50,63,1.4,9.43,-0.41,8.78,True,3.15,2.25,10.11,1.07
0_agent_hv.csv,60,63,0.21,8.47,-0.65,100.0,True,0.58,2.83,9.43,1.11
10_agent_hv.csv,10,49,5.52,4.56,0.21,-0.22,True,12.66,2.3,15.78,3.46
13_agent_hv.csv,0,35,5.27,3.37,0.78,-0.62,True,12.24,2.32,15.25,4.53
13_agent_hv.csv,10,35,3.0,4.32,-0.45,0.8,True,9.46,3.16,11.72,2.71
14_agent_hv.csv,0,21,2.33,7.75,-0.62,4.18,True,7.99,3.43,16.24,2.1
15_agent_hv.csv,20,56,5.15,9.93,-0.23,0.47,True,12.28,2.39,13.01,1.31
15_agent_hv.csv,30,56,2.13,7.72,-0.77,3.7,True,8.77,4.12,11.59,1.5
16_agent_hv.csv,50,52,0.1,9.74,-1.06,100.0,True,0.53,5.24,11.49,1.18
17_agent_hv.csv,0,34,5.13,5.33,-0.04,0.05,True,12.79,2.49,16.82,3.16
17_agent_hv.csv,10,34,2.77,8.56,-0.56,2.58,True,9.75,3.52,14.64,1.71
1_agent_hv.csv,10,46,8.71,7.35,0.08,-0.07,True,14.6,1.68,13.61,1.85
20_agent_hv.csv,30,41,1.19,3.13,-1.19,10.03,True,3.56,2.99,11.46,3.66
20_agent_hv.csv,40,41,0.0,4.34,-1.87,100.0,True,0.0,4.05,9.41,2.17
21_agent_hv.csv,0,26,2.79,4.16,-0.72,1.75,True,12.75,4.57,20.68,4.98
21_agent_hv.csv,10,26,1.43,7.17,-1.2,13.7,True,7.69,5.38,17.49,2.44
22_agent_hv.csv,10,48,6.41,6.6,-0.02,0.02,True,15.76,2.46,13.03,1.97
23_agent_hv.csv,40,48,0.72,9.69,-1.04,66.24,True,3.9,5.45,18.55,1.91
24_agent_hv.csv,0,28,3.63,4.77,-0.3,0.6,True,10.88,3.0,16.64,3.49
24_agent_hv.csv,10,28,1.97,6.1,-0.83,4.81,True,7.38,3.74,13.79,2.26
25_agent_hv.csv,20,27,0.62,6.26,-1.27,70.36,True,2.74,4.42,15.01,2.4
27_agent_hv.csv,0,39,8.96,4.18,0.76,-0.41,True,12.49,1.39,14.45,3.46
29_agent_hv.csv,10,29,2.95,6.57,-0.37,2.74,True,6.51,2.21,21.62,3.29
29_agent_hv.csv,20,29,0.88,4.04,-1.45,35.26,True,3.3,3.75,17.46,4.32
2_agent_hv.csv,10,23,1.23,5.76,-1.17,15.31,True,5.26,4.29,14.72,2.56
2_agent_hv.csv,20,23,0.2,9.61,-0.91,100.0,True,0.9,4.45,13.35,1.39
32_agent_hv.csv,0,36,4.84,3.53,0.49,-0.42,True,11.27,2.33,13.34,3.78
32_agent_hv.csv,10,36,3.06,4.68,-0.43,0.8,True,8.83,2.88,10.8,2.3
32_agent_hv.csv,20,36,1.86,5.4,-0.76,3.34,True,5.86,3.14,8.81,1.63
32_agent_hv.csv,30,36,0.52,8.05,-0.97,52.95,True,2.2,4.19,7.65,0.95
37_agent_hv.csv,50,64,2.19,9.07,-0.19,4.0,True,2.51,1.15,12.64,1.39
3_agent_hv.csv,20,45,4.29,8.17,-0.19,0.9,True,6.98,1.63,17.48,2.14
3_agent_hv.csv,30,45,1.87,7.37,-0.52,6.62,True,4.82,2.58,15.52,2.11
3_agent_hv.csv,40,45,0.43,5.3,-1.32,100.0,True,1.62,3.79,13.13,2.48
40_agent_hv.csv,10,49,8.67,5.5,0.38,-0.22,True,15.61,1.8,14.38,2.62
42_agent_hv.csv,30,34,0.3,7.25,-1.01,100.0,True,1.16,3.82,12.9,1.78
43_agent_hv.csv,10,55,9.71,6.42,0.24,-0.21,True,14.81,1.53,19.01,2.96
43_agent_hv.csv,20,55,4.2,7.29,-0.34,0.8,True,12.42,2.96,16.59,2.28
45_agent_hv.csv,60,65,0.41,8.8,-1.01,100.0,True,1.94,4.68,9.04,1.03
47_agent_hv.csv,10,45,6.25,7.38,-0.09,0.1,True,13.93,2.23,12.94,1.75
48_agent_hv.csv,0,43,7.46,3.15,2.19,-1.0,True,18.78,2.52,20.4,6.47
48_agent_hv.csv,10,43,4.14,5.27,-0.3,0.41,True,15.53,3.75,16.19,3.07
4_agent_hv.csv,70,72,0.1,7.46,-1.09,100.0,True,0.42,4.11,9.96,1.34
53_agent_hv.csv,0,23,2.18,2.78,-0.77,1.24,True,10.98,5.03,13.6,4.89
53_agent_hv.csv,10,23,1.14,3.1,-2.09,9.47,True,5.81,5.11,9.73,3.14
53_agent_hv.csv,20,23,0.2,7.33,-1.2,100.0,True,0.88,4.51,8.34,1.14
54_agent_hv.csv,10,57,5.26,8.6,-0.08,0.47,True,4.91,0.93,16.72,1.94
55_agent_hv.csv,50,74,3.2,7.46,-0.74,2.66,True,15.53,4.85,23.84,3.19
55_agent_hv.csv,60,74,1.52,6.01,-1.6,13.49,True,9.84,6.46,20.87,3.47
55_agent_hv.csv,70,74,0.31,5.35,-2.79,100.0,True,2.5,7.94,17.45,3.26
