file_name,frame,conflict_frame,ego_ttcp,agent_ttcp,ego_a_c,agent_a_c,av_pass_first,ego_dis2des,ego_current_velocity,agent_dis2des,agent_current_velocity
100_agent_yield_hv.csv,0,40,2.94,4.6,-0.71,2.13,False,13.36,4.54,25.52,5.55
100_agent_yield_hv.csv,10,40,4.62,3.01,0.78,-0.99,False,10.12,2.19,19.8,6.58
101_agent_yield_hv.csv,30,31,7.02,0.0,100.0,-2.5,False,11.01,1.57,0.0,8.77
102_agent_yield_hv.csv,0,23,7.23,2.06,6.41,-1.64,False,19.01,2.63,17.1,8.3
102_agent_yield_hv.csv,10,23,3.19,1.17,13.34,-3.17,False,14.41,4.51,9.32,7.98
102_agent_yield_hv.csv,20,23,3.41,0.2,100.0,-4.27,False,10.64,3.12,1.54,7.73
107_agent_yield_hv.csv,10,28,9.63,1.74,6.32,-1.08,False,11.68,1.21,11.02,6.34
107_agent_yield_hv.csv,20,28,6.25,0.73,33.96,-1.8,False,10.25,1.64,4.64,6.38
109_agent_yield_hv.csv,20,24,9.69,0.31,100.0,-1.35,False,11.14,1.15,2.08,6.75
10_agent_yield_hv.csv,10,51,7.15,5.61,0.21,-0.21,False,15.54,2.17,19.87,3.54
10_agent_yield_hv.csv,20,51,8.09,4.88,0.45,-0.34,False,13.61,1.68,16.79,3.44
10_agent_yield_hv.csv,50,51,7.12,0.0,100.0,-1.97,False,10.55,1.48,0.0,7.01
111_agent_yield_hv.csv,20,21,6.42,0.0,100.0,-2.3,False,8.85,1.38,0.0,7.38
118_agent_yield_hv.csv,0,25,4.99,2.77,1.84,-1.36,False,15.83,3.17,21.12,7.63
118_agent_yield_hv.csv,10,25,4.98,1.51,7.88,-2.37,False,12.88,2.58,12.83,8.48
118_agent_yield_hv.csv,20,25,7.14,0.41,100.0,-2.44,False,10.92,1.53,3.76,9.22
119_agent_yield_hv.csv,30,52,7.02,2.51,2.1,-1.14,False,10.28,1.46,15.53,6.2
119_agent_yield_hv.csv,40,52,6.9,1.29,8.67,-1.68,False,8.87,1.29,9.19,7.13
119_agent_yield_hv.csv,50,52,7.38,0.1,100.0,-2.46,False,7.66,1.04,0.88,9.19
120_agent_yield_hv.csv,0,26,6.7,2.64,3.98,-0.98,False,22.89,3.42,14.38,5.44
120_agent_yield_hv.csv,10,26,7.56,1.47,14.95,-1.25,False,20.05,2.65,8.63,5.87
120_agent_yield_hv.csv,20,26,5.27,0.52,100.0,-1.92,False,17.02,3.23,2.93,5.61
121_agent_yield_hv.csv,0,41,4.14,3.85,0.11,-0.19,False,11.69,2.82,21.93,5.7
121_agent_yield_hv.csv,10,41,6.52,3.81,0.55,-0.57,False,9.61,1.47,17.13,4.5
124_agent_yield_hv.csv,50,52,8.87,0.09,100.0,-1.73,False,10.98,1.24,0.73,7.76
