file_name,frame,conflict_frame,ego_ttcp,agent_ttcp,ego_a_c,agent_a_c,av_pass_first,ego_dis2des,ego_current_velocity,agent_dis2des,agent_current_velocity
0_agent_hv.csv,40,58,8.32,2.5,5.56,-0.76,False,24.83,2.99,11.23,4.49
0_agent_hv.csv,50,58,4.49,0.85,48.41,-2.27,False,21.57,4.8,5.31,6.27
100_agent_hv.csv,10,49,7.15,3.53,1.33,-0.42,False,16.38,2.29,10.53,2.98
101_agent_hv.csv,10,43,1.56,6.98,-1.54,3.21,False,10.87,6.95,5.03,0.72
101_agent_hv.csv,40,43,5.73,0.22,100.0,-1.24,False,3.27,0.57,0.82,3.7
102_agent_hv.csv,10,45,3.17,3.93,-0.44,0.56,False,14.22,4.48,14.42,3.67
102_agent_hv.csv,20,45,4.27,3.69,0.22,-0.2,False,10.84,2.54,11.41,3.09
102_agent_hv.csv,30,45,4.74,1.8,3.3,-1.12,False,8.62,1.82,7.73,4.29
106_agent_hv.csv,20,43,9.7,2.74,4.74,-0.52,False,24.8,2.56,9.56,3.49
107_agent_hv.csv,0,23,5.17,3.76,0.43,-0.14,False,11.1,2.15,5.14,1.37
107_agent_hv.csv,10,23,6.55,4.19,0.38,-0.1,False,9.18,1.4,3.76,0.9
107_agent_hv.csv,20,23,8.44,0.26,100.0,-0.71,False,8.72,1.03,0.8,3.1
110_agent_hv.csv,0,20,2.24,2.9,-0.94,0.84,False,13.43,5.99,9.21,3.17
110_agent_hv.csv,10,20,0.95,1.08,-1.61,1.29,False,6.65,7.03,5.01,4.66
111_agent_hv.csv,30,39,0.46,0.75,-8.29,16.0,False,3.68,8.01,4.41,5.91
112_agent_hv.csv,30,31,7.29,0.0,100.0,-1.57,False,12.74,1.75,0.0,5.72
113_agent_hv.csv,10,23,7.67,1.45,18.59,-0.57,False,24.1,3.14,3.95,2.72
113_agent_hv.csv,20,23,7.0,0.19,100.0,-1.22,False,19.89,2.84,0.82,4.39
114_agent_hv.csv,30,46,8.29,1.0,46.72,-1.55,False,26.57,3.21,7.35,7.33
114_agent_hv.csv,40,46,6.14,0.65,98.24,-1.3,False,23.21,3.78,2.9,4.48
115_agent_hv.csv,40,62,5.94,2.23,6.5,-1.06,False,25.88,4.36,11.27,5.04
115_agent_hv.csv,50,62,3.65,1.28,16.55,-1.79,False,20.88,5.72,6.44,5.03
115_agent_hv.csv,60,62,2.49,0.11,100.0,-4.47,False,15.77,6.33,0.64,5.83
116_agent_hv.csv,30,47,5.26,1.33,16.53,-1.37,False,19.56,3.72,6.36,4.8
116_agent_hv.csv,40,47,4.96,0.94,30.66,-1.0,False,16.72,3.37,2.86,3.05
125_agent_hv.csv,30,38,3.8,0.85,2.7,-1.28,False,1.26,0.33,2.67,3.13
126_agent_hv.csv,40,50,8.65,1.09,20.06,-0.68,False,13.64,1.58,3.68,3.37
12_agent_hv.csv,0,26,3.66,3.08,0.95,-0.2,False,28.22,7.7,6.93,2.25
12_agent_hv.csv,10,26,3.4,1.67,7.84,-0.82,False,21.47,6.32,4.6,2.74
12_agent_hv.csv,20,26,3.66,0.55,92.14,-1.48,False,16.4,4.48,1.75,3.18
132_agent_hv.csv,70,76,8.76,0.81,28.13,-0.46,False,10.17,1.16,1.79,2.2
133_agent_hv.csv,20,27,9.32,0.63,22.82,-1.47,False,4.86,0.52,4.6,7.33
134_agent_hv.csv,0,57,4.52,4.98,-0.08,0.17,False,10.46,2.31,18.89,3.79
134_agent_hv.csv,10,57,9.06,6.73,0.1,-0.13,False,8.94,0.99,15.9,2.36
135_agent_hv.csv,0,29,4.27,1.06,13.23,-2.1,False,9.88,2.31,6.34,5.96
135_agent_hv.csv,10,29,8.47,4.95,0.28,-0.11,False,8.35,0.99,5.43,1.1
135_agent_hv.csv,20,29,9.37,0.79,21.75,-0.59,False,7.41,0.79,2.35,2.99
137_agent_hv.csv,0,48,6.9,4.93,0.41,-0.28,False,17.43,2.52,16.67,3.38
137_agent_hv.csv,10,48,6.72,6.62,0.01,-0.01,False,15.06,2.24,13.87,2.1
13_agent_hv.csv,0,32,8.63,5.67,0.42,-0.09,False,19.44,2.25,6.55,1.16
13_agent_hv.csv,10,32,7.26,3.7,1.23,-0.19,False,17.22,2.37,5.29,1.43
13_agent_hv.csv,20,32,4.19,1.51,7.9,-0.67,False,14.08,3.36,3.32,2.2
13_agent_hv.csv,30,32,3.07,0.12,100.0,-1.97,False,10.73,3.5,0.37,3.15
140_agent_hv.csv,0,28,3.19,2.73,0.8,-0.39,False,20.51,6.42,11.76,4.31
140_agent_hv.csv,10,28,5.76,1.67,9.0,-1.1,False,17.67,3.07,7.45,4.48
140_agent_hv.csv,20,28,3.34,0.64,53.36,-2.19,False,13.52,4.05,2.92,4.53
145_agent_hv.csv,30,34,5.76,0.32,100.0,-2.15,False,16.63,2.89,2.09,6.55
148_agent_hv.csv,20,49,3.03,3.33,-0.16,0.15,False,9.24,3.05,7.77,2.33
148_agent_hv.csv,40,49,3.25,1.98,1.19,-0.35,False,5.97,1.83,2.92,1.47
149_agent_hv.csv,20,28,9.19,0.85,64.27,-1.12,False,25.58,2.78,4.84,5.67
14_agent_hv.csv,20,29,7.18,0.93,28.64,-1.2,False,14.23,1.98,4.6,4.94
150_agent_hv.csv,0,47,4.8,2.34,2.17,-1.26,False,11.58,2.41,13.82,5.9
150_agent_hv.csv,10,47,6.06,2.34,2.09,-0.78,False,9.31,1.54,9.0,3.84
152_agent_hv.csv,30,43,6.51,1.51,5.64,-0.77,False,8.37,1.28,4.93,3.25
152_agent_hv.csv,40,43,1.1,0.21,100.0,-6.99,False,4.9,4.47,0.99,4.75
153_agent_hv.csv,20,39,8.17,2.46,2.74,-0.52,False,11.87,1.45,7.55,3.06
154_agent_hv.csv,50,63,4.84,1.19,20.93,-1.38,False,19.64,4.06,5.31,4.45
154_agent_hv.csv,60,63,5.66,0.19,100.0,-1.73,False,16.91,2.99,0.96,5.06
15_agent_hv.csv,40,42,3.79,0.12,100.0,-2.24,False,15.23,4.02,0.52,4.38
160_agent_hv.csv,20,26,4.06,0.46,100.0,-2.18,False,14.26,3.51,2.31,5.01
161_agent_hv.csv,30,34,6.42,0.39,100.0,-1.06,False,12.83,2.0,1.4,3.62
162_agent_hv.csv,20,30,8.94,0.63,65.79,-1.21,False,14.04,1.57,3.69,5.82
164_agent_hv.csv,10,22,6.3,1.03,57.01,-1.38,False,36.15,5.74,5.38,5.21
164_agent_hv.csv,20,22,6.48,0.1,100.0,-1.56,False,31.69,4.89,0.52,5.15
169_agent_hv.csv,20,30,7.75,0.89,38.98,-1.41,False,17.44,2.25,5.45,6.15
172_agent_hv.csv,10,27,3.16,2.89,0.27,-0.13,False,13.39,4.24,7.05,2.44
172_agent_hv.csv,20,27,1.16,0.7,12.52,-2.98,False,7.76,6.7,3.01,4.33
173_agent_hv.csv,0,42,3.35,5.44,-0.95,0.5,False,22.48,6.71,7.32,1.35
173_agent_hv.csv,10,42,2.45,7.3,-1.18,1.4,False,15.87,6.47,6.31,0.86
173_agent_hv.csv,30,42,3.41,1.95,1.89,-0.53,False,8.4,2.47,4.1,2.11
173_agent_hv.csv,40,42,2.25,0.1,100.0,-3.89,False,5.57,2.47,0.45,4.58
174_agent_hv.csv,20,31,2.45,1.16,7.77,-1.7,False,9.95,4.07,4.56,3.94
174_agent_hv.csv,30,31,5.64,0.0,100.0,-1.55,False,8.05,1.43,0.0,4.37
178_agent_hv.csv,40,54,4.31,1.6,1.75,-2.09,False,3.56,0.83,11.46,7.17
178_agent_hv.csv,50,54,0.31,0.24,7.83,-14.83,False,1.0,3.24,2.24,9.52
179_agent_hv.csv,20,22,8.07,0.15,100.0,-0.83,False,17.58,2.18,0.52,3.41
17_agent_hv.csv,0,23,2.28,2.1,0.42,-0.32,False,12.01,5.27,9.6,4.57
17_agent_hv.csv,10,23,1.29,1.13,1.26,-0.83,False,6.53,5.06,4.88,4.32
17_agent_hv.csv,20,23,0.18,0.2,-6.32,4.02,False,0.95,5.4,0.79,4.01
181_agent_hv.csv,50,53,4.22,0.22,100.0,-1.92,False,18.0,4.27,0.93,4.26
183_agent_hv.csv,0,35,7.25,8.78,-0.08,0.07,False,13.98,1.93,10.27,1.17
183_agent_hv.csv,30,35,6.51,0.39,100.0,-1.33,False,11.85,1.82,1.82,4.6
184_agent_hv.csv,10,51,9.36,8.18,0.09,-0.01,False,22.64,2.42,3.14,0.38
188_agent_hv.csv,10,26,1.32,1.39,-0.28,0.57,False,5.17,3.92,9.74,7.0
188_agent_hv.csv,20,26,0.52,0.32,15.1,-10.01,False,1.98,3.78,2.24,6.91
