file_name,frame,conflict_frame,ego_ttcp,agent_ttcp,ego_a_c,agent_a_c,av_pass_first,ego_dis2des,ego_current_velocity,agent_dis2des,agent_current_velocity
0_agent_yield_hv.csv,30,54,2.76,9.79,-0.63,3.42,True,11.8,4.28,18.15,1.86
0_agent_yield_hv.csv,50,54,0.28,5.74,-1.8,100.0,True,1.55,5.44,14.31,2.49
1000_agent_yield_hv.csv,30,34,0.29,1.02,-20.63,59.32,True,4.22,14.66,3.48,3.41
1001_agent_yield_hv.csv,10,22,1.13,6.81,-2.23,9.33,True,10.28,9.09,7.14,1.05
1001_agent_yield_hv.csv,20,22,0.1,7.19,-2.57,100.0,True,0.95,9.36,6.37,0.89
1002_agent_yield_hv.csv,20,48,4.44,6.95,-0.34,0.38,True,14.76,3.32,10.28,1.48
1002_agent_yield_hv.csv,30,48,2.11,7.54,-0.94,3.09,True,10.34,4.91,9.56,1.27
1002_agent_yield_hv.csv,40,48,0.74,6.23,-1.79,26.52,True,4.68,6.33,8.24,1.32
1003_agent_yield_hv.csv,10,25,1.65,1.78,-0.55,0.17,True,11.12,6.74,3.26,1.83
1003_agent_yield_hv.csv,20,25,0.45,2.29,-5.4,15.28,True,3.45,7.69,1.93,0.84
1004_agent_yield_hv.csv,10,22,1.12,8.65,-1.97,11.56,True,10.95,9.78,8.33,0.96
1004_agent_yield_hv.csv,20,22,0.1,5.88,-3.34,100.0,True,0.97,9.97,7.32,1.25
1005_agent_yield_hv.csv,0,22,2.38,9.96,-0.93,2.53,True,14.52,6.1,9.43,0.95
1005_agent_yield_hv.csv,20,22,0.1,5.73,-2.44,100.0,True,0.72,7.12,7.27,1.27
1006_agent_yield_hv.csv,10,29,1.53,8.1,-2.29,5.62,True,17.43,11.42,8.11,1.0
1006_agent_yield_hv.csv,20,29,0.74,8.72,-1.97,24.09,True,6.99,9.38,7.21,0.83
1007_agent_yield_hv.csv,0,25,3.21,1.86,5.64,-0.27,True,23.17,7.21,1.93,1.03
1009_agent_yield_hv.csv,20,34,1.67,5.16,-1.34,7.16,True,8.55,5.11,14.76,2.86
1009_agent_yield_hv.csv,30,34,0.29,2.38,-5.08,100.0,True,2.03,6.9,10.35,4.34
1010_agent_yield_hv.csv,20,51,3.43,4.74,-0.63,0.75,True,18.63,5.43,15.84,3.34
1010_agent_yield_hv.csv,30,51,2.63,2.26,0.73,-0.53,True,13.45,5.12,11.03,4.89
1010_agent_yield_hv.csv,40,51,1.2,0.84,6.48,-3.39,True,7.68,6.42,5.71,6.79
1012_agent_yield_hv.csv,0,23,3.71,5.21,-0.41,0.6,True,13.73,3.7,14.46,2.78
1012_agent_yield_hv.csv,10,23,1.51,6.22,-1.38,8.24,True,8.54,5.67,12.4,1.99
1012_agent_yield_hv.csv,20,23,0.21,5.95,-2.43,100.0,True,1.57,7.49,10.48,1.76
1013_agent_yield_hv.csv,0,26,4.17,8.95,-0.47,0.89,True,16.3,3.91,14.48,1.62
1013_agent_yield_hv.csv,10,26,1.58,7.83,-1.38,8.17,True,10.65,6.74,12.78,1.63
1013_agent_yield_hv.csv,20,26,0.52,4.1,-3.31,67.54,True,4.03,7.76,10.46,2.55
1014_agent_yield_hv.csv,0,23,1.94,2.47,-1.27,1.32,True,14.27,7.35,11.55,4.68
1014_agent_yield_hv.csv,10,23,1.07,2.92,-2.89,8.86,True,7.16,6.67,8.0,2.74
1014_agent_yield_hv.csv,20,23,0.19,7.33,-1.54,100.0,True,1.09,5.81,6.38,0.87
1015_agent_yield_hv.csv,0,26,2.18,5.05,-1.64,3.33,True,15.81,7.26,13.94,2.76
1015_agent_yield_hv.csv,10,26,1.33,6.16,-1.69,9.99,True,8.83,6.63,11.27,1.83
1015_agent_yield_hv.csv,20,26,0.5,3.82,-2.61,62.66,True,2.86,5.74,9.01,2.36
1017_agent_yield_hv.csv,0,22,2.82,7.34,-1.17,1.94,True,19.6,6.95,12.54,1.71
1017_agent_yield_hv.csv,10,22,1.25,4.53,-2.87,9.06,True,11.28,8.99,9.78,2.16
1017_agent_yield_hv.csv,20,22,0.1,4.07,-5.14,100.0,True,1.09,10.72,7.79,1.92
1018_agent_yield_hv.csv,40,56,1.88,2.59,-1.02,1.92,True,9.1,4.83,12.34,4.76
1018_agent_yield_hv.csv,50,56,0.56,9.67,-1.19,65.85,True,3.43,6.08,10.96,1.13
1019_agent_yield_hv.csv,40,45,0.45,9.35,-1.88,100.0,True,4.11,9.22,15.02,1.61
101_agent_yield_hv.csv,0,33,4.03,2.58,5.73,-1.25,True,52.91,13.12,18.03,6.99
101_agent_yield_hv.csv,10,33,2.43,5.19,-3.32,2.59,True,39.42,16.21,14.39,2.77
101_agent_yield_hv.csv,20,33,1.39,3.52,-5.56,6.89,True,22.57,16.2,11.02,3.13
101_agent_yield_hv.csv,30,33,0.19,0.74,-33.45,100.0,True,3.08,16.55,4.84,6.51
1020_agent_yield_hv.csv,10,47,8.95,3.57,1.71,-0.24,True,18.09,2.02,6.33,1.77
1021_agent_yield_hv.csv,10,47,3.78,5.13,-0.68,0.57,True,25.14,6.64,15.61,3.04
1021_agent_yield_hv.csv,20,47,2.58,2.3,0.75,-0.42,True,18.2,7.05,11.31,4.92
1021_agent_yield_hv.csv,30,47,1.58,1.7,-0.59,0.43,True,11.16,7.06,7.36,4.32
1021_agent_yield_hv.csv,40,47,0.58,0.63,-1.73,1.51,True,4.09,7.04,2.94,4.63
1022_agent_yield_hv.csv,20,21,0.0,7.1,-2.47,100.0,True,0.0,8.75,6.2,0.87
1023_agent_yield_hv.csv,10,24,1.16,2.85,-5.77,6.55,True,16.04,13.85,7.44,2.61
1023_agent_yield_hv.csv,20,24,0.28,1.08,-16.03,75.83,True,3.32,11.73,4.01,3.71
1024_agent_yield_hv.csv,0,25,2.98,3.64,-0.62,0.71,True,18.65,6.25,17.4,4.78
1024_agent_yield_hv.csv,10,25,1.91,4.24,-1.79,4.11,True,13.14,6.89,13.63,3.21
1024_agent_yield_hv.csv,20,25,0.44,3.56,-4.39,97.5,True,3.92,8.91,10.77,3.03
1025_agent_yield_hv.csv,10,31,1.92,1.85,0.18,-0.22,True,9.11,4.76,10.83,5.85
1025_agent_yield_hv.csv,20,31,1.07,6.64,-1.13,12.95,True,4.79,4.49,8.84,1.33
1026_agent_yield_hv.csv,10,48,7.02,4.41,2.36,-0.39,True,61.64,8.78,16.18,3.67
1026_agent_yield_hv.csv,20,48,4.54,3.03,3.7,-0.58,True,50.94,11.21,11.86,3.92
1026_agent_yield_hv.csv,30,48,3.5,1.84,11.02,-1.08,True,39.3,11.23,7.35,3.99
1026_agent_yield_hv.csv,40,48,1.82,0.61,92.0,-3.75,True,25.74,14.13,3.11,5.12
1027_agent_yield_hv.csv,20,30,0.88,2.71,-5.26,11.14,True,9.34,10.58,6.39,2.35
1029_agent_yield_hv.csv,10,27,1.46,3.55,-4.24,6.83,True,18.65,12.78,12.37,3.49
1029_agent_yield_hv.csv,20,27,0.57,2.39,-7.53,41.2,True,6.8,11.84,8.78,3.67
102_agent_yield_hv.csv,20,28,0.57,0.48,11.42,-4.63,True,8.38,14.72,3.78,7.95
1031_agent_yield_hv.csv,0,39,3.88,2.81,2.5,-0.86,True,35.64,9.17,17.01,6.05
1031_agent_yield_hv.csv,10,39,3.65,3.16,0.75,-0.28,True,27.94,7.65,12.0,3.8
1031_agent_yield_hv.csv,20,39,1.73,4.74,-2.72,3.57,True,17.59,10.15,8.41,1.77
1031_agent_yield_hv.csv,30,39,0.83,1.15,-4.6,3.9,True,7.85,9.47,4.78,4.14
1032_agent_yield_hv.csv,0,45,5.47,7.01,-0.41,0.33,True,35.88,6.56,22.26,3.18
1032_agent_yield_hv.csv,10,45,4.55,5.97,-0.51,0.42,True,29.03,6.37,18.27,3.06
1032_agent_yield_hv.csv,20,45,2.73,4.25,-1.34,1.44,True,21.81,7.99,15.08,3.55
1032_agent_yield_hv.csv,30,45,1.6,2.09,-1.87,1.86,True,13.29,8.32,10.2,4.88
1032_agent_yield_hv.csv,40,45,0.43,0.72,-10.3,19.26,True,3.96,9.2,4.39,6.08
1033_agent_yield_hv.csv,0,23,3.07,6.39,-0.97,0.61,True,18.37,5.98,5.53,0.87
1033_agent_yield_hv.csv,10,23,1.45,6.72,-1.8,3.55,True,11.18,7.71,4.75,0.71
1033_agent_yield_hv.csv,20,23,0.21,8.8,-2.15,100.0,True,2.04,9.68,4.19,0.48
1034_agent_yield_hv.csv,30,58,3.03,5.21,-0.79,0.98,True,14.94,4.92,10.75,2.06
1034_agent_yield_hv.csv,40,58,1.7,7.75,-1.14,4.96,True,9.65,5.67,9.19,1.19
1034_agent_yield_hv.csv,50,58,0.63,3.39,-2.96,29.1,True,3.9,6.17,7.09,2.09
1035_agent_yield_hv.csv,10,56,4.8,8.32,-1.11,1.05,True,52.46,10.93,28.73,3.45
1035_agent_yield_hv.csv,20,56,4.21,5.14,-0.7,0.5,True,41.99,9.97,24.32,4.73
1035_agent_yield_hv.csv,30,56,2.54,3.87,-2.14,2.05,True,30.39,11.99,19.31,4.99
1035_agent_yield_hv.csv,40,56,1.53,1.85,-2.28,1.98,True,18.37,12.04,13.28,7.16
1035_agent_yield_hv.csv,50,56,0.5,0.91,-11.89,23.72,True,6.13,12.15,6.55,7.17
1037_agent_yield_hv.csv,20,25,0.43,6.99,-2.16,100.0,True,3.47,8.05,11.48,1.64
1039_agent_yield_hv.csv,30,32,0.1,8.17,-1.75,100.0,True,0.74,7.24,10.12,1.24
103_agent_yield_hv.csv,0,28,3.39,9.18,-0.68,1.02,True,16.76,4.95,9.26,1.01
103_agent_yield_hv.csv,20,28,0.73,9.06,-1.35,27.29,True,4.81,6.62,7.91,0.87
1040_agent_yield_hv.csv,0,41,9.68,7.94,0.11,-0.06,True,18.73,1.93,12.48,1.57
1042_agent_yield_hv.csv,30,32,0.09,8.33,-1.48,100.0,True,0.59,6.24,7.21,0.86
1044_agent_yield_hv.csv,20,30,0.97,4.33,-2.96,6.59,True,7.96,8.24,3.99,0.92
1045_agent_yield_hv.csv,20,47,3.32,8.96,-0.62,2.89,True,14.54,4.39,25.28,2.82
1045_agent_yield_hv.csv,30,47,1.96,6.88,-1.04,8.73,True,9.79,4.98,23.46,3.41
1045_agent_yield_hv.csv,40,47,0.63,7.24,-1.54,90.41,True,3.83,6.1,19.65,2.72
1046_agent_yield_hv.csv,0,23,2.52,6.46,-1.19,3.64,True,15.96,6.33,18.93,2.93
1046_agent_yield_hv.csv,10,23,1.31,5.12,-2.09,13.7,True,9.4,7.19,15.8,3.09
1046_agent_yield_hv.csv,20,23,0.22,3.94,-3.66,100.0,True,1.69,7.63,12.7,3.23
1047_agent_yield_hv.csv,40,60,2.23,2.08,0.41,-0.3,True,13.49,6.06,10.41,5.0
1047_agent_yield_hv.csv,50,60,1.04,1.0,0.6,-0.35,True,7.22,6.92,5.24,5.22
1048_agent_yield_hv.csv,0,37,3.11,3.15,-0.07,0.06,True,32.3,10.37,22.05,7.0
1048_agent_yield_hv.csv,10,37,3.0,2.24,2.44,-1.14,True,24.2,8.07,15.15,6.76
1048_agent_yield_hv.csv,20,37,1.63,1.57,0.48,-0.25,True,15.03,9.2,8.71,5.55
1048_agent_yield_hv.csv,30,37,0.62,0.59,1.61,-0.95,True,5.64,9.09,3.14,5.35
1049_agent_yield_hv.csv,10,23,1.17,9.72,-1.33,11.03,True,8.61,7.36,8.58,0.88
1049_agent_yield_hv.csv,20,23,0.2,3.91,-3.41,100.0,True,1.42,7.03,7.12,1.82
104_agent_yield_hv.csv,0,34,9.24,2.43,7.87,-1.33,True,31.52,3.41,20.23,8.33
104_agent_yield_hv.csv,10,34,5.85,2.37,5.89,-1.2,True,27.81,4.75,13.98,5.9
104_agent_yield_hv.csv,20,34,4.5,1.42,15.28,-1.71,True,22.51,5.0,8.01,5.63
104_agent_yield_hv.csv,30,34,2.58,0.25,100.0,-4.3,True,16.47,6.38,1.52,6.14
1050_agent_yield_hv.csv,0,22,2.3,5.62,-1.36,4.43,True,14.93,6.49,19.84,3.53
1050_agent_yield_hv.csv,10,22,1.18,8.65,-1.36,21.2,True,8.04,6.83,17.09,1.97
1050_agent_yield_hv.csv,20,22,0.1,7.17,-2.06,100.0,True,0.75,7.49,14.83,2.07
1057_agent_yield_hv.csv,0,27,3.63,4.05,-0.24,0.58,True,16.85,4.65,36.74,9.07
1057_agent_yield_hv.csv,10,27,1.82,5.3,-1.51,12.49,True,11.08,6.09,31.49,5.94
1057_agent_yield_hv.csv,20,27,0.67,3.79,-2.95,91.88,True,4.54,6.79,25.06,6.62
1058_agent_yield_hv.csv,10,30,2.44,2.2,0.5,-0.41,True,12.32,5.05,10.98,5.0
1058_agent_yield_hv.csv,20,30,0.98,1.12,-1.43,1.52,True,6.31,6.44,5.71,5.08
1059_agent_yield_hv.csv,10,35,2.22,9.64,-1.28,3.29,True,17.85,8.03,10.54,1.09
1059_agent_yield_hv.csv,20,35,1.42,4.52,-2.2,3.65,True,10.25,7.24,5.36,1.19
1059_agent_yield_hv.csv,30,35,0.39,0.51,-6.71,4.57,True,2.81,7.22,1.46,2.84
105_agent_yield_hv.csv,0,24,2.31,6.11,-1.17,3.59,True,13.21,5.72,15.39,2.52
105_agent_yield_hv.csv,10,24,1.56,6.24,-1.31,8.31,True,8.46,5.43,13.49,2.16
105_agent_yield_hv.csv,20,24,0.31,3.1,-3.91,100.0,True,2.11,6.73,10.38,3.35
1060_agent_yield_hv.csv,0,31,3.01,2.51,2.41,-0.94,True,45.65,15.16,21.41,8.53
1060_agent_yield_hv.csv,10,31,1.98,1.68,3.28,-0.94,True,30.31,15.29,10.54,6.26
1060_agent_yield_hv.csv,20,31,0.98,1.16,-4.11,2.03,True,15.07,15.37,6.39,5.53
1061_agent_yield_hv.csv,10,36,3.14,8.52,-0.79,5.18,True,16.68,5.3,40.4,4.74
1061_agent_yield_hv.csv,20,36,1.59,5.34,-1.73,19.12,True,10.42,6.57,34.42,6.44
1061_agent_yield_hv.csv,30,36,0.5,3.65,-3.36,100.0,True,3.58,7.1,27.37,7.5
1062_agent_yield_hv.csv,10,36,2.48,8.61,-1.09,0.55,True,16.4,6.61,2.37,0.28
1062_agent_yield_hv.csv,20,36,1.44,4.14,-2.1,1.09,True,9.66,6.69,1.73,0.42
1062_agent_yield_hv.csv,30,36,0.48,1.57,-5.71,7.0,True,3.12,6.47,1.16,0.74
1063_agent_yield_hv.csv,0,53,5.17,2.28,17.17,-1.88,True,79.83,15.44,19.84,8.69
1063_agent_yield_hv.csv,20,53,3.24,5.68,-2.3,1.0,True,49.15,15.18,12.18,2.14
1063_agent_yield_hv.csv,30,53,2.25,2.65,-1.73,0.55,True,34.04,15.14,9.13,3.45
1063_agent_yield_hv.csv,40,53,1.22,1.54,-4.07,1.56,True,18.71,15.28,5.56,3.6
1063_agent_yield_hv.csv,50,53,0.2,0.22,-11.43,5.28,True,3.13,15.48,1.0,4.45
1064_agent_yield_hv.csv,20,36,1.5,3.51,-5.0,4.22,True,22.93,15.31,8.28,2.36
1064_agent_yield_hv.csv,30,36,0.5,5.61,-4.99,51.71,True,7.63,15.35,7.1,1.27
1065_agent_yield_hv.csv,30,32,0.17,4.77,-1.84,100.0,True,0.79,4.56,8.4,1.76
1066_agent_yield_hv.csv,20,44,2.57,8.35,-0.85,1.4,True,13.15,5.11,6.67,0.8
1066_agent_yield_hv.csv,30,44,1.18,9.66,-1.15,7.5,True,7.42,6.31,5.94,0.62
1066_agent_yield_hv.csv,40,44,0.29,4.78,-2.22,100.0,True,1.64,5.65,5.06,1.06
1067_agent_yield_hv.csv,30,48,1.51,7.28,-1.37,6.32,True,9.54,6.31,9.08,1.25
1068_agent_yield_hv.csv,20,25,0.4,8.36,-1.84,100.0,True,3.19,8.07,8.51,1.02
